/home/ubuntu/micromamba/envs/minLM/lib/python3.12/site-packages/huggingface_hub/file_download.py:1150: FutureWarning: `resume_download` is deprecated and will be removed in version 1.0.0. Downloads always resume when possible. If you want to force a new download, use `force_download=True`.
  warnings.warn(
Number of rows in train dataset: 1165029
Number of rows in test dataset: 2891
num decayed parameter tensors: 50, with 222,793,200 parameters
num non-decayed parameter tensors: 25, with 27,000 parameters
using fused AdamW: True
Iter 0 | Perplexity: 57534.78515625
Epoch 0.0
Iter 0 | LR: 0.0003 | MFU: 0.04776321498834135 | time 116.35s | Loss: inf
Iter 24500 | LR: 0.0002959354621321781 | MFU: 0.02631793336116093 | time 210.38s | Loss: 0.9336092846840619
Iter 25000 | Perplexity: 101.7837905883789
Iter 25000 | LR: 0.0002957688215944435 | MFU: 0.02596209862320053 | time 244.16s | Loss: 0.9284797230362885
Iter 25500 | LR: 0.0002955988920814546 | MFU: 0.02600724431621368 | time 210.39s | Loss: 0.9266650740802295
Iter 26000 | LR: 0.0002954256782210115 | MFU: 0.026047448099105426 | time 210.42s | Loss: 0.9322828150540592
Iter 26500 | LR: 0.0002952491847303591 | MFU: 0.026083809442577457 | time 210.41s | Loss: 0.9184469667822124
Iter 27000 | LR: 0.0002950694164160585 | MFU: 0.02611634831039942 | time 210.42s | Loss: 0.915364292114973
Iter 27500 | LR: 0.0002948863781738561 | MFU: 0.026146121843504615 | time 210.38s | Loss: 0.9203789266198878
Iter 28000 | LR: 0.0002947000749885507 | MFU: 0.026172378187027497 | time 210.42s | Loss: 0.9113907040655617
Iter 28500 | LR: 0.000294510511933857 | MFU: 0.02619631034625984 | time 210.40s | Loss: 0.9025023820996283
Iter 29000 | LR: 0.0002943176941722681 | MFU: 0.02621676996364954 | time 210.49s | Loss: 0.8884419269114736
Iter 29500 | LR: 0.00029412162695491447 | MFU: 0.026236421086337034 | time 210.39s | Loss: 0.8926898713409899
Iter 30000 | Perplexity: 81.43192291259766
Iter 30000 | LR: 0.00029392231562142115 | MFU: 0.025888715243044223 | time 244.17s | Loss: 0.8746513343602419
Iter 30500 | LR: 0.00029371976559976236 | MFU: 0.02594071492762156 | time 210.42s | Loss: 0.8779795002937314
Iter 31000 | LR: 0.0002935139824061135 | MFU: 0.025987377042628598 | time 210.44s | Loss: 0.8811145678162574
Iter 31500 | LR: 0.00029330497164470115 | MFU: 0.02602987756763159 | time 210.40s | Loss: 0.8830629198998212
Iter 32000 | LR: 0.00029309273900765016 | MFU: 0.026067671271763418 | time 210.43s | Loss: 0.8660618376731872
Iter 32500 | LR: 0.000292877290274829 | MFU: 0.02610206047507357 | time 210.40s | Loss: 0.8718650139868261
Iter 33000 | LR: 0.00029265863131369197 | MFU: 0.026132672873048622 | time 210.43s | Loss: 0.8763009031862016
Iter 33500 | LR: 0.00029243676807911976 | MFU: 0.026160771626640055 | time 210.39s | Loss: 0.8644222047179931
Iter 34000 | LR: 0.0002922117066132569 | MFU: 0.02618507749892275 | time 210.46s | Loss: 0.8628537366539251
Iter 34500 | LR: 0.00029198345304534755 | MFU: 0.026207647061766287 | time 210.41s | Loss: 0.8642048113793133
Iter 35000 | Perplexity: 66.55587768554688
Iter 35000 | LR: 0.00029175201359156846 | MFU: 0.02586278259021691 | time 244.17s | Loss: 0.8471803115308287
Iter 35500 | LR: 0.00029151739455485963 | MFU: 0.02591724498188784 | time 210.44s | Loss: 0.8445766287297011
Iter 36000 | LR: 0.00029127960232475266 | MFU: 0.025964789396734442 | time 210.55s | Loss: 0.8500142227113248
Iter 36500 | LR: 0.00029103864337719687 | MFU: 0.026009430900817882 | time 210.40s | Loss: 0.8480712397024037
Iter 37000 | LR: 0.00029079452427438273 | MFU: 0.026048657122412285 | time 210.48s | Loss: 0.8403321063518522
Iter 37500 | LR: 0.00029054725166456326 | MFU: 0.02608468879806951 | time 210.42s | Loss: 0.8420176922529939
Iter 38000 | LR: 0.00029029683228187314 | MFU: 0.026117072859890105 | time 210.43s | Loss: 0.8237651823461065
Iter 38500 | LR: 0.0002900432729461449 | MFU: 0.026146562715467205 | time 210.40s | Loss: 0.8232328232377761
Iter 39000 | LR: 0.0002897865805627236 | MFU: 0.026172427800272326 | time 210.45s | Loss: 0.821493210420013
Iter 39500 | LR: 0.0002895267621222786 | MFU: 0.026196419738689452 | time 210.40s | Loss: 0.8145444118231537
Iter 40000 | Perplexity: 56.771305084228516
Iter 40000 | LR: 0.00028926382470061314 | MFU: 0.025852238424614475 | time 244.22s | Loss: 0.8157720021530978
Iter 40500 | LR: 0.00028899777545847167 | MFU: 0.02590810636152033 | time 210.41s | Loss: 0.8169635292142626
Iter 41000 | LR: 0.00028872862164134493 | MFU: 0.025958158298789297 | time 210.43s | Loss: 0.8052326697856185
Iter 41500 | LR: 0.0002884563705792725 | MFU: 0.026003149894606774 | time 210.43s | Loss: 0.8021900640428061
